SAMPLE;GEO_ID;CONDITION;TIME;SEX
1;GSM154337;KO;3mo;male
2;GSM154338;KO;3mo;female
3;GSM154339;KO;3mo;female
4;GSM154340;KO;5mo;male
5;GSM154341;KO;5mo;female
6;GSM154342;KO;5mo;female
7;GSM154343;KO;8mo;male
8;GSM154344;KO;8mo;female
9;GSM154345;KO;8mo;male
10;GSM154346;WT;3mo;male
11;GSM154347;WT;3mo;female
12;GSM154348;WT;3mo;male
13;GSM154349;WT;5mo;male
14;GSM154350;WT;5mo;female
15;GSM154351;WT;5mo;female
16;GSM154352;WT;8mo;male
17;GSM154353;WT;8mo;female
18;GSM154354;WT;8mo;female
